Index,Sentence_index,Sentence,POS_Tagged_Tokens,Lemmas
1,1,Picking Christmas gifts for nieces and nephews can be one of the most fun (and sometimes challenging!) parts of the holiday season,picking[VBG],pick
2,1,,christmas[NN],christmas
3,1,,gifts[NNS],gift
4,1,,for[IN],for
5,1,,nieces[NNS],niece
6,1,,and[CC],and
7,1,,nephews[NNS],nephew
8,1,,can[MD],can
9,1,,be[VB],be
10,1,,one[CD],one
11,1,,of[IN],of
12,1,,the[DT],the
13,1,,most[RBS],most
14,1,,fun[JJ],fun
15,1,,([(],(
16,1,,and[CC],and
17,1,,sometimes[RB],sometimes
18,1,,challenging[VBG],challenge
19,1,,![.],!
20,2,Here's a comprehensive guide to help you find the perfect presents:,)[)],)
21,2,,parts[NNS],part
22,2,,of[IN],of
23,2,,the[DT],the
24,2,,holiday[NN],holiday
25,2,,season[NN],season
26,2,,.[.],.
27,3,I,here[RB],here
28,3,,'s[VBZ],'s
29,3,,a[DT],a
30,3,,comprehensive[JJ],comprehensive
31,3,,guide[NN],guide
32,3,,to[TO],to
33,3,,help[VB],help
34,3,,you[PRP],you
35,3,,find[VB],find
36,3,,the[DT],the
37,3,,perfect[JJ],perfect
38,3,,presents[NNS],present
39,3,,:[:],:
40,3,,i[NN],i
41,3,,.[.],.
42,4,General Strategies for All Ages:,general[JJ],general
43,4,,strategies[NNS],strategy
44,4,,for[IN],for
45,4,,all[DT],all
46,4,,ages[NNS],age
47,4,,:[:],:
48,4,,1[CD],1
49,4,,.[.],.
50,5,1,ask[VB],ask
51,5,,the[DT],the
52,5,,parents[NNS],parent
53,5,,([(],(
54,5,,discreetly[RB],discreetly
55,5,,![.],!
56,6,Ask the Parents (Discreetly!): This is your most valuable resource.,)[)],)
57,6,,:[:],:
58,6,,this[DT],this
59,6,,is[VBZ],be
60,6,,your[PRP$],your
61,6,,most[RBS],most
62,6,,valuable[JJ],valuable
63,6,,resource[NN],resource
64,6,,.[.],.
65,7,"""Any ideas for [Niece's Name] this year? She seems to have so much already!""",``[``],``
66,7,,any[DT],any
67,7,,ideas[NNS],idea
68,7,,for[IN],for
69,7,,[[NNP],[
70,7,,niece[NN],niece
71,7,,'s[POS],'s
72,7,,name[NN],name
73,7,,][NN],]
74,7,,this[DT],this
75,7,,year[NN],year
76,7,,?[.],?
77,8,"""Are there any specific toys or books [Nephew's Name] is really into right now?""",she[PRP],she
78,8,,seems[VBZ],seem
79,8,,to[TO],to
80,8,,have[VB],have
81,8,,so[RB],so
82,8,,much[JJ],much
83,8,,already[RB],already
84,8,,![.],!
85,9,"""Is there anything they don't need more of?"" (e.g., more art supplies, more stuffed animals).",''[''],''
86,9,,``[``],``
87,9,,are[VBP],be
88,9,,there[RB],there
89,9,,any[DT],any
90,9,,specific[JJ],specific
91,9,,toys[NNS],toy
92,9,,or[CC],or
93,9,,books[NNS],book
94,9,,[[VBP],[
95,9,,nephew[NN],nephew
96,9,,'s[POS],'s
97,9,,name[NN],name
98,9,,][NNP],]
99,9,,is[VBZ],be
100,9,,really[RB],really
101,9,,into[IN],into
102,9,,right[NN],right
103,9,,now[RB],now
104,9,,?[.],?
105,10,"""Are they saving up for anything big?"" (This can inform a gift card or contribution).",''[''],''
106,10,,``[``],``
107,10,,is[VBZ],be
108,10,,there[EX],there
109,10,,anything[NN],anything
110,10,,they[PRP],they
111,10,,do[VBP],do
112,10,,n't[RB],n't
113,10,,need[VB],need
114,10,,more[JJR],more
115,10,,of[IN],of
116,10,,?[.],?
117,11,"Ask a few months in advance, or offer to pick up something specific they need.",''[''],''
118,11,,([(],(
119,11,,e.g.[FW],e.g.
120,11,,",[,]",","
121,11,,more[JJR],more
122,11,,art[JJ],art
123,11,,supplies[NNS],supply
124,11,,",[,]",","
125,11,,more[JJR],more
126,11,,stuffed[JJ],stuffed
127,11,,animals[NNS],animal
128,11,,)[)],)
129,11,,.[.],.
130,12,2,``[``],``
131,12,,are[VBP],be
132,12,,they[PRP],they
133,12,,saving[VBG],save
134,12,,up[RP],up
135,12,,for[IN],for
136,12,,anything[NN],anything
137,12,,big[JJ],big
138,12,,?[.],?
139,13,Observe Their Interests:,''[''],''
140,13,,([(],(
141,13,,this[DT],this
142,13,,can[MD],can
143,13,,inform[VB],inform
144,13,,a[DT],a
145,13,,gift[NN],gift
146,13,,card[NN],card
147,13,,or[CC],or
148,13,,contribution[NN],contribution
149,13,,)[)],)
150,13,,.[.],.
151,14,"What are they always talking about? (Superheroes, specific book series, video games, animals, crafts?)",pro-tip[NN],pro-tip
152,14,,:[:],:
153,14,,ask[VB],ask
154,14,,a[DT],a
155,14,,few[JJ],few
156,14,,months[NNS],month
157,14,,in[IN],in
158,14,,advance[NN],advance
159,14,,",[,]",","
160,14,,or[CC],or
161,14,,offer[VBP],offer
162,14,,to[TO],to
163,14,,pick[VB],pick
164,14,,up[RP],up
165,14,,something[NN],something
166,14,,specific[JJ],specific
167,14,,they[PRP],they
168,14,,need[VBP],need
169,14,,.[.],.
170,15,What do they play with when you visit?,2[CD],2
171,15,,.[.],.
172,16,What shows/movies/YouTube channels do they watch?,observe[VB],observe
173,16,,their[PRP$],their
174,16,,interests[NNS],interest
175,16,,:[:],:
176,16,,what[WP],what
177,16,,are[VBP],be
178,16,,they[PRP],they
179,16,,always[RB],always
180,16,,talking[VBG],talk
181,16,,about[IN],about
182,16,,?[.],?
183,17,"Do they have any specific hobbies (sports, music, art, coding)?",([(],(
184,17,,superheroes[NNS],superheroes
185,17,,",[,]",","
186,17,,specific[JJ],specific
187,17,,book[NN],book
188,17,,series[NN],series
189,17,,",[,]",","
190,17,,video[JJ],video
191,17,,games[NNS],game
192,17,,",[,]",","
193,17,,animals[NNS],animal
194,17,,",[,]",","
195,17,,crafts[NNS],craft
196,17,,?[.],?
197,18,3,)[)],)
198,18,,what[WP],what
199,18,,do[VBP],do
200,18,,they[PRP],they
201,18,,play[VB],play
202,18,,with[IN],with
203,18,,when[WRB],when
204,18,,you[PRP],you
205,18,,visit[VB],visit
206,18,,?[.],?
207,19,"Set a Budget: Decide what you're comfortable spending per child, or per family",what[WP],what
208,19,,shows/movies/youtube[NN],shows/movies/youtube
209,19,,channels[NNS],channel
210,19,,do[VBP],do
211,19,,they[PRP],they
212,19,,watch[VB],watch
213,19,,?[.],?
214,20,This will help narrow down options.,do[VBP],do
215,20,,they[PRP],they
216,20,,have[VB],have
217,20,,any[DT],any
218,20,,specific[JJ],specific
219,20,,hobbies[NNS],hobby
220,20,,([(],(
221,20,,sports[NNS],sport
222,20,,",[,]",","
223,20,,music[NN],music
224,20,,",[,]",","
225,20,,art[NN],art
226,20,,",[,]",","
227,20,,coding[VBG],cod
228,20,,)[)],)
229,20,,?[.],?
230,21,4,3[CD],3
231,21,,.[.],.
232,22,Consider Practical vs,set[VB],set
233,22,,a[DT],a
234,22,,budget[NN],budget
235,22,,:[:],:
236,22,,decide[VB],decide
237,22,,what[WP],what
238,22,,you[PRP],you
239,22,,'re[VBP],'re
240,22,,comfortable[JJ],comfortable
241,22,,spending[NN],spending
242,22,,per[IN],per
243,22,,child[NN],child
244,22,,",[,]",","
245,22,,or[CC],or
246,22,,per[IN],per
247,22,,family[NN],family
248,22,,.[.],.
249,23,Fun:,this[DT],this
250,23,,will[MD],will
251,23,,help[VB],help
252,23,,narrow[VB],narrow
253,23,,down[RP],down
254,23,,options[NNS],option
255,23,,.[.],.
256,24,"Clothes (always appreciated by parents!), books, educational toys, supplies for a hobby, bedding/room decor.",4[CD],4
257,24,,.[.],.
258,25,"Toys, games, experiences, tech gadgets.",consider[VB],consider
259,25,,practical[JJ],practical
260,25,,vs.[FW],vs.
261,25,,fun[NN],fun
262,25,,:[:],:
263,25,,practical[JJ],practical
264,25,,:[:],:
265,25,,clothes[NNS],clothes
266,25,,([(],(
267,25,,always[RB],always
268,25,,appreciated[VBN],appreciate
269,25,,by[IN],by
270,25,,parents[NNS],parent
271,25,,![.],!
272,26,"A gift that is both fun and practical (e.g., a really cool book series, a bike, a stylish but comfortable sweater).",)[)],)
273,26,,",[,]",","
274,26,,books[NNS],book
275,26,,",[,]",","
276,26,,educational[JJ],educational
277,26,,toys[NNS],toy
278,26,,",[,]",","
279,26,,supplies[NNS],supply
280,26,,for[IN],for
281,26,,a[DT],a
282,26,,hobby[NN],hobby
283,26,,",[,]",","
284,26,,bedding/room[NN],bedding/room
285,26,,decor[NN],decor
286,26,,.[.],.
287,27,5,fun[NN],fun
288,27,,:[:],:
289,27,,toys[NN],toy
290,27,,",[,]",","
291,27,,games[NNS],game
292,27,,",[,]",","
293,27,,experiences[NNS],experience
294,27,,",[,]",","
295,27,,tech[JJ],tech
296,27,,gadgets[NNS],gadget
297,27,,.[.],.
298,28,Experiences Over Things: Especially for older kids or families trying to reduce clutter.,best[JJS],best
299,28,,scenario[NN],scenario
300,28,,:[:],:
301,28,,a[DT],a
302,28,,gift[NN],gift
303,28,,that[WDT],that
304,28,,is[VBZ],be
305,28,,both[DT],both
306,28,,fun[NN],fun
307,28,,and[CC],and
308,28,,practical[JJ],practical
309,28,,([(],(
310,28,,e.g.[JJ],e.g.
311,28,,",[,]",","
312,28,,a[DT],a
313,28,,really[RB],really
314,28,,cool[JJ],cool
315,28,,book[NN],book
316,28,,series[NN],series
317,28,,",[,]",","
318,28,,a[DT],a
319,28,,bike[NN],bike
320,28,,",[,]",","
321,28,,a[DT],a
322,28,,stylish[JJ],stylish
323,28,,but[CC],but
324,28,,comfortable[JJ],comfortable
325,28,,sweater[NN],sweater
326,28,,)[)],)
327,28,,.[.],.
328,29,"Tickets to a movie, concert, sporting event, museum, zoo, or theme park.",5[CD],5
329,29,,.[.],.
330,30,"A gift certificate for an activity like bowling, mini-golf, rock climbing, or an escape room.",experiences[NNS],experience
331,30,,over[IN],over
332,30,,things[NNS],thing
333,30,,:[:],:
334,30,,especially[RB],especially
335,30,,for[IN],for
336,30,,older[JJR],old
337,30,,kids[NNS],kid
338,30,,or[CC],or
339,30,,families[NNS],family
340,30,,trying[VBG],try
341,30,,to[TO],to
342,30,,reduce[VB],reduce
343,30,,clutter[NN],clutter
344,30,,.[.],.
345,31,"A cooking class, art workshop, or music lesson.",tickets[NNS],ticket
346,31,,to[TO],to
347,31,,a[DT],a
348,31,,movie[NN],movie
349,31,,",[,]",","
350,31,,concert[NN],concert
351,31,,",[,]",","
352,31,,sporting[VBG],sport
353,31,,event[NN],event
354,31,,",[,]",","
355,31,,museum[NN],museum
356,31,,",[,]",","
357,31,,zoo[NN],zoo
358,31,,",[,]",","
359,31,,or[CC],or
360,31,,theme[NN],theme
361,31,,park[NN],park
362,31,,.[.],.
